DATE,TB3MS,
200811,0.19,
200812,0.03,
200901,0.13,
200902,0.3,
200903,0.21,
200904,0.16,
200905,0.18,
200906,0.18,
200907,0.18,
200908,0.17,
200909,0.12,
200910,0.07,
200911,0.05,
200912,0.05,
201001,0.06,
201002,0.11,
201003,0.15,
201004,0.16,
201005,0.16,
201006,0.12,
201007,0.16,
201008,0.16,
201009,0.15,
201010,0.13,
201011,0.14,
201012,0.14,
201101,0.15,
201102,0.13,
201103,0.1,
201104,0.06,
201105,0.04,
201106,0.04,
201107,0.04,
201108,0.02,
201109,0.01,
201110,0.02,
201111,0.01,
201112,0.01,
201201,0.03,
201202,0.09,
201203,0.08,
201204,0.08,
201205,0.09,
201206,0.09,
201207,0.1,
201208,0.1,
201209,0.11,
201210,0.1,
201211,0.09,
201212,0.07,
201301,0.07,
201302,0.1,
201303,0.09,
201304,0.06,
201305,0.04,
201306,0.05,
201307,0.04,
201308,0.04,
201309,0.02,
201310,0.05,
201311,0.07,
201312,0.07,
201401,0.04,
201402,0.05,
201403,0.05,
201404,0.03,
201405,0.03,
201406,0.04,
201407,0.03,
201408,0.03,
201409,0.02,
201410,0.02,
201411,0.02,
201412,0.03,
201501,0.03,
201502,0.02,
201503,0.03,
201504,0.02,
201505,0.02,
201506,0.02,
201507,0.03,
201508,0.07,
201509,0.02,
201510,0.02,
201511,0.12,
201512,0.23,
201601,0.26,
201602,0.31,
201603,0.29,
201604,0.23,
201605,0.27,
201606,0.27,
201607,0.3,
201608,0.3,
201609,0.29,
201610,0.33,
201611,0.45,
201612,0.51,
201701,0.51,
201702,0.52,
201703,0.74,
201704,0.8,
201705,0.89,
201706,0.98,
201707,1.07,
201708,1.01,
201709,1.03,
201710,1.07,
201711,1.23,
201712,1.32,
201801,1.41,
201802,1.57,
201803,1.7,
201804,1.76,
201805,1.86,
201806,1.9,
201807,1.96,
201808,2.03,
201809,2.13,
201810,2.25,
201811,2.33,
201812,2.37,
201901,2.37,
201902,2.39,
201903,2.4,
201904,2.38,
201905,2.35,
201906,2.17,
201907,2.1,
201908,1.95,
201909,1.89,
201910,1.65,
201911,1.54,
201912,1.54,
202001,1.52,
202002,1.52,
202003,0.29,
202004,0.14,
202005,0.13,
202006,0.16,
202007,0.13,
202008,0.1,
202009,0.11,
202010,0.1,
202011,0.09,
202012,0.09,
202101,0.08,
202102,0.04,
202103,0.03,
202104,0.02,
202105,0.02,
202106,0.04,
202107,0.05,
202108,0.05,
202109,0.04,
202110,0.05,
202111,0.05,
202112,0.06,
202201,0.15,
202202,0.33,
202203,0.44,
202204,0.76,
202205,0.98,
202206,1.49,
202207,2.23,
202208,2.63,
202209,3.13,
