TICKER,FSYM_ID,DATE,CURRENCY,PRICE_DATE,MTD_RETURN_LOCAL,MTD_RETURN_USD,Unnamed: 7
JWSM-US,GF302X-R,09/30/2022,USD,09/30/2022,0.3027,0.3027,14702
DCF-US,NBF9QV-R,02/28/2018,USD,02/28/2018,-1.7144,-1.7144,11491
SUM-US,MN00RD-R,07/31/2022,USD,07/29/2022,18.1194,18.1194,9645
CWXZF-US,CL0K42-R,10/31/2019,USD,10/30/2019,-4.4918,-4.4918,1181
AROFF-US,DSJWXW-R,11/30/2015,USD,11/11/2015,2.8169,2.8169,6933
EBCOY-US,R2D4CZ-R,02/28/2018,USD,02/28/2018,-8.4108,-8.4108,5085
BCTX-US,PQLW0D-R,08/31/2017,USD,08/30/2017,5.2308,5.2308,15604
IIF-US,LBWY95-R,04/30/2014,USD,04/30/2014,1.1783,1.1783,11026
YMAIF-US,P5DZP9-R,04/30/2022,USD,04/07/2022,50.0537,50.0537,5712
RVLP-US,F6DS5Q-R,03/31/2019,USD,03/29/2019,-49.9305,-49.9305,11955
CHMG-US,JPYFTV-R,04/30/2018,USD,04/30/2018,1.5709,1.5709,890
HWC-US,PGK4R1-R,12/31/2013,USD,12/31/2013,4.9322,4.9322,8430
ARNGF-US,H2TZ42-R,02/28/2019,USD,02/28/2019,4.4776,4.4776,355
DXF-US,V0MJXH-R,02/29/2020,USD,02/28/2020,-27.4194,-27.4194,1360
GEENQ-US,HSWQ5R-R,02/29/2020,USD,02/28/2020,-27.7108,-27.7108,1789
HMST-US,GPWHKD-R,02/29/2016,USD,02/29/2016,-2.4902,-2.4902,2060
SCVL-US,SDD8QX-R,06/30/2013,USD,06/28/2013,-1.112,-1.112,4794
PAI-US,XP6H5T-R,07/31/2018,USD,07/31/2018,-1.5485,-1.5485,11915
VLT-US,NNDXKR-R,03/31/2021,USD,03/31/2021,3.3751,3.3751,12105
AVGR-US,FR3Q2W-R,07/31/2018,USD,07/31/2018,-20.0599,-20.0599,9146
ATLRF.XX1-US,MH27RD-R,01/31/2014,USD,01/31/2014,0.8696,0.8696,409
BYDIF-US,TTP58G-R,10/31/2014,USD,10/31/2014,11.5044,11.5044,729
ICFI-US,NMDHN8-R,03/31/2022,USD,03/31/2022,6.3891,6.3891,2166
AAVXF-US,SQFKZL-R,01/31/2019,USD,01/25/2019,19.3896,19.3896,9098
LPAD-US,FXMK9L-R,01/31/2015,USD,01/30/2015,-21.9756,-21.9756,7403
DESP-US,DSDK8F-R,11/30/2021,USD,11/30/2021,-22.2122,-22.2122,10917
HPMCF-US,QVYLTQ-R,03/31/2014,USD,03/27/2014,44.2069,44.2069,11796
LITOF-US,FGVYP7-R,08/31/2019,USD,08/30/2019,0.2304,0.2304,13779
AMEUF-US,TF2BRK-R,12/31/2020,USD,12/30/2020,10.076,10.076,7997
ACHC-US,V89DFL-R,07/31/2017,USD,07/31/2017,7.1891,7.1891,101
ODV-US,G5G1Y9-R,08/31/2020,USD,08/19/2020,-96.941,-96.941,13486
PNEXF-US,WVZTXS-R,06/30/2020,USD,06/29/2020,12.8134,12.8134,10393
PRTG-US,CGLSDT-R,07/31/2022,USD,07/29/2022,44.9857,44.9857,12135
NVRO-US,D7LJD9-R,12/31/2019,USD,12/31/2019,5.153,5.153,8564
GNMSF-US,TQ92QQ-R,02/28/2019,USD,02/28/2019,16.0262,16.0262,1871
KUTV-US,GGMX2H-R,08/31/2014,USD,08/29/2014,24.5016,24.5016,7370
RCEL-US,SHC615-R,02/28/2013,USD,02/28/2013,0.9826,0.9826,6248
TREX-US,KPLFPD-R,08/31/2016,USD,08/31/2016,27.7113,27.7113,4266
AXON-US,RXMV9M-R,03/31/2018,USD,03/29/2018,12.8625,12.8625,468
CVHSY-US,KFQWVH-R,09/30/2019,USD,09/19/2019,22.449,22.449,10908
CCRN-US,RJ3KS7-R,11/30/2017,USD,11/30/2017,0.1465,0.1465,802
CCCS-US,LM69J2-R,06/30/2021,USD,06/30/2021,0.2012,0.2012,13048
AVK-US,W289FW-R,02/29/2020,USD,02/28/2020,-5.7159,-5.7159,10029
